id,match_won,opp_win_percentage,toss_won,home,match_type,fifty_plus_t1,fifty_plus_partnerships_t1,fours_t1,sixes_t1,extras_t1,pp_wickets_t1,wickets_t1,balls_first_50_t1,dots_t1,run_rate_t1,highest_ind_t1,highest_ind_sr_t1,X2nd_highest_score_t1,highest_wickets_t1,worst_bowler_runs_t1,spinners_t1,pacers_t1,fifty_plus_t2,fifty_plus_partnerships_t2,fours_t2,sixes_t2,extras_t2,pp_wickets_t2,wickets_t2,balls_first_50_t2,dots_t2,run_rate_t2,highest_ind_t2,highest_ind_sr_t2,X2nd_highest_score_t2,highest_wickets_t2,worst_bowler_runs_t2,spinners_t2,pacers_t2
598012,0,0.5854,0,0,1,2,1,13,4,8,1,6,52,42,8.25,64,200,58,3,41,2,4,0,2,13,4,8,2,6,49,39,8.36,38,190,34,3,40,2,4
598018,1,0.2941,0,0,0,0,0,9,2,5,4,8,67,50,5.95,37,100,30,4,34,2,3,0,0,11,1,0,2,10,43,54,5.68,22,157.14,20,3,29,1,4
598020,1,0.4937,1,0,1,1,2,19,3,9,1,4,43,38,8.45,65,130,44,3,21,2,4,0,0,5,1,4,4,10,55,53,4.74,31,110.71,17,1,42,2,4
598022,0,0.5882,1,1,0,0,0,10,4,4,1,9,44,57,5.95,25,131.57,25,1,32,3,3,0,0,9,4,6,1,6,62,44,6.46,40,78.43,36,3,36,2,4
598026,0,0.593,1,0,1,1,1,12,7,10,0,4,34,30,9.25,101,165.57,36,3,49,1,6,2,1,18,4,7,1,5,31,21,9.37,88,172.54,51,2,45,2,4
598027,1,0.2778,0,1,0,1,1,21,21,11,0,5,29,37,13.15,175,265.15,33,2,37,2,4,0,1,15,3,4,4,9,43,55,6.65,41,132.25,24,2,56,2,5
598031,0,0.481,1,0,1,0,0,15,4,5,0,6,41,43,7.45,31,147.61,28,3,35,2,3,1,2,14,7,12,2,4,38,48,8.18,51,115.9,42,2,44,3,3
598034,1,0.4875,0,1,0,1,2,20,6,3,0,3,31,27,10,95,161.01,44,1,50,2,4,1,1,20,5,20,2,4,30,38,9.3,92,150.81,32,1,50,2,4
598036,0,0.5375,0,0,0,0,0,15,5,10,1,6,32,40,8.55,34,212.5,32,2,39,1,5,1,1,16,5,5,1,6,43,36,8.72,63,153.65,41,3,42,1,5
598038,1,0.2632,1,0,1,1,2,13,5,4,2,3,58,33,8.2,63,126,45,3,26,2,4,0,0,9,4,6,4,9,42,55,6.35,35,89.74,26,1,41,1,5
598040,0,0.494,1,0,1,0,0,14,4,7,3,7,50,60,6.8,26,100,23,1,35,2,4,1,1,13,4,2,2,3,49,42,7.68,66,157.14,37,2,37,1,4
598042,1,0.2564,1,0,1,2,2,17,6,12,0,3,49,36,9.35,52,115.55,50,3,44,3,3,1,1,9,11,6,1,9,49,43,8.5,75,166.66,32,2,52,4,3
598047,0,0.5366,1,0,1,1,1,20,5,11,0,4,30,50,8.9,54,131.7,45,3,38,2,4,2,1,20,5,3,0,5,36,36,9.17,67,139.58,58,1,39,1,5
598049,0,0.5422,1,0,0,1,1,19,2,7,2,4,50,49,7.7,64,160,34,1,40,1,5,2,1,15,2,11,0,1,37,29,8.69,63,140,53,1,39,1,5
598053,1,0.2439,1,0,1,1,0,15,2,11,1,6,36,43,7.6,50,113.63,31,3,27,2,4,0,0,4,4,4,2,10,61,50,5.43,40,142.85,31,3,40,1,5
598056,1,0.4824,0,0,1,1,0,14,5,4,2,7,44,48,7.5,61,129.78,32,4,22,3,4,0,1,10,3,8,1,9,46,60,6,33,82.5,26,3,39,1,4
598057,0,0.4824,0,0,0,0,0,5,2,3,1,9,57,44,5.75,33,91.66,28,2,37,1,4,0,0,13,1,5,2,5,51,58,6,41,91.11,24,4,22,3,4
598060,0,0.5843,1,0,1,1,2,18,5,7,1,3,35,35,8.9,59,143.9,43,2,55,2,4,1,2,13,11,7,1,3,42,39,9.43,66,244.44,38,2,43,2,4
598045,0,0.4767,0,1,0,2,1,15,9,7,1,5,55,49,8.7,77,145.28,57,1,44,1,4,2,1,21,5,8,1,3,41,32,9.68,85,157.4,61,3,47,1,4
598062,1,0.4828,1,1,1,1,2,11,5,10,0,4,38,37,8.4,58,165.71,31,3,39,1,4,0,0,8,4,9,2,9,40,49,6.75,44,118.91,23,2,37,2,4
598061,1,0.4884,0,0,0,1,2,11,9,1,1,4,48,40,8.5,66,140.42,48,2,34,2,6,1,1,15,3,15,3,7,44,43,8.15,72,163.63,42,1,48,2,4
598063,1,0.5581,0,1,1,1,1,15,6,7,1,8,37,43,8.3,59,159.45,23,2,36,2,3,0,1,15,4,16,4,7,48,54,7.6,39,144.44,37,2,38,2,4
598028,1,0.4773,0,1,1,0,1,18,7,9,0,4,34,46,8.55,45,102.27,44,3,44,1,4,0,1,15,7,13,3,7,56,51,8.2,49,168.96,39,2,39,0,5
598065,1,0.5517,1,1,1,1,1,7,2,15,3,9,66,39,6.8,55,119.56,23,2,33,2,4,0,0,7,4,6,0,9,67,58,5.65,26,216.66,25,5,39,2,5
598068,1,0.6105,0,1,1,1,1,10,8,5,1,2,28,15,13.25,56,193.1,28,4,20,0,5,0,0,6,5,2,3,6,34,15,10.25,32,168.42,24,1,26,1,4
598067,1,0.4719,1,1,0,1,1,14,8,5,1,5,45,41,8.6,52,152.94,44,3,36,2,4,0,1,12,2,16,2,9,38,52,6.7,30,130.43,24,2,52,1,4
729289,0,0.4615,1,2,1,1,2,16,2,14,2,5,48,35,8.3,55,134.14,48,2,41,3,3,2,1,13,6,11,2,6,37,40,8.56,56,140,52,2,33,2,4
729305,0,0.5376,0,2,0,0,0,6,1,4,5,10,71,50,4.66,21,84,18,2,29,1,3,0,0,6,2,3,2,4,62,47,5.46,24,100,23,4,20,1,5
729313,0,0.5161,0,2,1,0,0,8,4,10,4,8,42,55,6.2,35,109.37,20,2,29,2,4,0,0,13,0,12,2,5,48,47,6.74,32,123.07,26,3,39,2,4
